id,componentnumber,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,weighted degree,degree,modularity_class,pageranks,clustering,triangles,eigencentrality,
Louise Fletcher,0,20,0.078501338,0.10320808,0,1,1,33,0.001345429,0,0,0.0502931,
City of God,5,1,1,1,6,4,4,11,0.005756168,0,0,0.071381517,
Fernando Meirelles,5,2,0.571428571,0.625,0,1,1,11,0.001587592,0,0,0.035444876,
Alice Braga,5,2,0.571428571,0.625,0,1,1,11,0.001587592,0,0,0.035444876,
Seu Jorge,5,2,0.571428571,0.625,0,1,1,11,0.001587592,0,0,0.035444876,
Alexandre Rodrigues,5,2,0.571428571,0.625,0,1,1,11,0.001587592,0,0,0.035444876,
A Beginner's Guide to Snuff,6,1,1,1,6,4,4,12,0.005756168,0,0,0.071381517,
Mitchell Altieri,6,2,0.571428571,0.625,0,1,1,12,0.001587592,0,0,0.035444876,
Kimberley Crossman,6,2,0.571428571,0.625,0,1,1,12,0.001587592,0,0,0.035444876,
Luke Edwards,6,2,0.571428571,0.625,0,1,1,12,0.001587592,0,0,0.035444876,
Bree Williamson,6,2,0.571428571,0.625,0,1,1,12,0.001587592,0,0,0.035444876,
Queen of the Mountains,7,1,1,1,6,4,4,13,0.005756168,0,0,0.071381517,
Sadyk Sher-Niyaz,7,2,0.571428571,0.625,0,1,1,13,0.001587592,0,0,0.035444876,
Elina Abai Kyzy,7,2,0.571428571,0.625,0,1,1,13,0.001587592,0,0,0.035444876,
Aziz Muradillayev,7,2,0.571428571,0.625,0,1,1,13,0.001587592,0,0,0.035444876,
Mirlan Abdulayev,7,2,0.571428571,0.625,0,1,1,13,0.001587592,0,0,0.035444876,
Seven Samurai,8,1,1,1,6,4,4,14,0.005756168,0,0,0.071381517,
Akira Kurosawa,8,2,0.571428571,0.625,0,1,1,14,0.001587592,0,0,0.035444876,
Takashi Shimura,8,2,0.571428571,0.625,0,1,1,14,0.001587592,0,0,0.035444876,
